platform_id,platform_name,from_stage,to_stage,p10,p50,p90,mean,minimum,maximum
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,accelerator_package,server_assembly,0.0,0.0,2.842170943040401e-14,0.6781577724782087,0.0,49.776864535227446
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,installed,operational,2.9490092217815724,17.35533805900392,19.985508327250145,14.881836720557555,0.0,23.231344957257704
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,rack_integration,shipped,0.0,16.355500566115538,41.93745949836304,18.530835238074093,0.0,88.81993825084018
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,server_assembly,rack_integration,0.0,0.0,31.482669163757958,9.521528434736656,0.0,81.22668970690023
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,shipped,installed,0.0,6.1172190361291,30.65099392014413,11.049408300142892,0.0,72.52800541140334
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,accelerator_package,server_assembly,0.0,0.0,2.842170943040401e-14,0.9974433799561815,0.0,73.43241748555187
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,installed,operational,4.331439119660547,25.520128965710356,29.393748722829656,21.884029305948875,0.0,34.11169329709543
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,rack_integration,shipped,0.0,24.0639738740483,61.658503787255604,27.250328559330367,0.0,130.44512129725823
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,server_assembly,rack_integration,0.0,0.0,46.316911380746845,14.001653583762044,0.0,119.61225761590921
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,shipped,installed,0.0,8.985504447242207,45.100601468795446,16.24832426298083,0.0,106.03032946593288
