platform_id,platform_name,stage,p10,p50,p90,mean,minimum,maximum
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,accelerator_package,165.1087672463568,189.19885131978702,214.9549069714524,189.6834154100162,147.7094117333761,235.41869220790144
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,server_assembly,165.1087672463568,189.0051957906302,212.5814669965963,189.00525763753802,147.7094117333761,235.41869220790144
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,rack_integration,159.74695227395353,179.22909027087775,199.04160612707759,179.48372920280136,146.34915918436445,231.71725405145105
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,shipped,146.21159366844742,160.708170774237,175.6600952854606,160.95289396472728,133.06532482065046,203.8406604405919
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,installed,134.40155287070266,150.24533544577952,164.71584437367258,149.90348566458437,118.76486809600885,186.08539171709333
nvidia-gb200-nvl72,NVIDIA GB200 NVL72,operational,117.84852007920759,135.35228268453795,151.5313032131384,135.02164894402682,104.42250438769602,167.42161842986116
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,accelerator_package,242.84796593429456,278.19431927015705,316.1401430173547,278.9335129526371,217.19557709079427,346.58421638087793
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,server_assembly,242.84796593429456,277.93384882715804,312.70053727158535,277.93606957268094,217.19557709079427,346.58421638087793
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,rack_integration,234.94738746937247,263.6312127120576,292.7284456718534,263.9344159889189,215.47026028107942,342.22265138935506
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,shipped,215.01940164275027,236.3049174735425,258.3086408683925,236.68408742958852,195.58076986246633,298.8132463049019
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,installed,197.76997783482182,220.91606463635577,242.2310947523951,220.43576316660767,174.55171420419828,273.02580724689244
nvidia-gb300-nvl72,NVIDIA GB300 NVL72,operational,173.48263503983546,199.05032810571467,222.78170581415225,198.5517338606588,153.472504399209,246.41235126231376
