metric,label,unit,p10,p50,p90,mean,minimum,maximum
commissioning_completed_capacity,Completed commissioning capacity,rack,371.85810796191384,497.4520832782464,647.8090706041241,504.38135743749484,281.77967971786296,781.0938776980611
commissioning_slots,Target-quarter commissioning slots,rack,494.89136447318083,611.0889530725965,742.5052047620707,615.5237709293456,401.9393009525106,849.3006021252476
commissioning_utilization,Completed commissioning utilization,ratio,0.13679610507259118,1.0,1.0,0.7932939395107225,0.0,1.0
contracted_reservations,Contracted reservations,MW,46.9662901034212,61.45410508659754,77.21073879206095,61.80900910875256,35.2963852507987,89.72571158686934
current_critical_it_load,Current critical IT load,MW,184.78828547594705,202.81389371593897,223.33971213669145,203.51248867435524,170.36628141736412,239.64269054748135
gross_critical_it_power,Gross critical IT envelope,MW,358.80162440461424,432.9993355061823,519.3732556986715,436.56070635974163,301.2315456073298,587.7879244379959
gross_power_utilization,Gross envelope used by target racks,ratio,0.021909499300682582,0.11486021896669735,0.16031244190342647,0.1067327118205527,0.0,0.23791434137912254
net_uncommitted_compatible_power,Net uncommitted compatible power,MW,10.97374085251013,104.6936890857553,203.10801807354912,108.03891266973619,0.0,344.68978725205875
operational_rack_power,Operational rack power,MW,8.187560687581481,52.01280103595954,72.34572014796055,47.5994047316329,0.0,93.59711522064975
operational_racks,Operational racks,rack,68.22967239651236,433.4400086329962,602.8810012330047,396.66170609694086,0.0,779.9759601720813
other_platform_commitments,Other platform commitments,MW,24.681205370306195,36.429003042929246,49.43961512049219,36.78262161970757,15.23978747438954,59.77351379696185
other_unallocated_compatible_power,Compatible power not allocated to target,MW,2.5605159336874177,24.705504122893302,53.24431928289784,27.03112045708454,0.0,121.4521197447506
oversubscribed_deductions,Deductions above gross envelope,MW,0.0,0.0,0.0,2.0158262234613296,0.0,118.53599948186383
power_limited_racks,Power-supported racks,rack,68.22967239651236,648.8813232100263,1273.206315241269,675.0649351054304,0.0,2247.0990831316367
rack_incompatible_capacity,Rack-incompatible capacity,MW,17.90467108411415,27.77705094977039,40.04357365301354,28.43350051065138,10.195785652988356,49.78646675998204
shadow_allocatable_power,Power held back by commissioning,MW,0.0,17.81185684867836,93.58835887369908,33.40838748101874,0.0,230.2301586833776
shadow_commissioning_capacity,Commissioning held back by power,rack,0.0,0.0,416.8228164183864,107.71965134055398,0.0,771.4848039621121
target_allocatable_power,Target-platform allocatable power,MW,8.187560687581481,77.86575878520316,152.78475782895228,81.00779221265165,0.0,269.6518899757964
target_power_utilization,Target allocatable power utilization,ratio,0.2797912222238462,0.6777043108438818,1.0,0.6639015288126143,0.0,1.0000000000000002
total_deductions,Total explicit deductions,MW,274.34045203378855,328.47405279523616,390.03363970225814,330.53761991346676,231.0982397955407,438.92838269129453
